#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1099.9999999947247,-36769.15223934563,11007.286340686149,-25761.865898659482,293.67496097584575,14.9
1109.999999996762,-36922.06753129111,11213.039991079924,-25709.027540211187,299.8024797694019,14.9
1119.9999999987992,-37004.12449589123,11030.269695188224,-25973.854800703004,294.8567808509984,14.9
1130.0000000008365,-36696.628727478244,11314.601382372375,-25382.027345105867,302.60973470818755,14.9
1140.0000000028738,-36458.3192763138,10859.145665413083,-25599.173610900718,290.9567314123013,14.9
1150.000000004911,-36392.98404073514,11000.157463956288,-25392.826576778847,293.8431185725443,14.9
1160.0000000069483,-36817.63535205492,10953.048613359444,-25864.58673869547,292.4045260860989,14.9
1170.0000000089856,-36674.84083696331,11283.222641708157,-25391.618195255156,300.93838735003567,14.9
1180.0000000110228,-36862.75393544696,11026.354346887136,-25836.399588559827,294.43040351689456,14.9
1190.0000000130601,-36467.91264873584,11100.60657088219,-25367.306077853646,296.4282253090111,14.9
1200.0000000150974,-36201.65540737271,11398.672868679916,-24802.98253869279,304.99396783632545,14.9
1210.0000000171347,-36395.67745606043,10937.27219501341,-25458.405261047024,291.7654445471257,14.9
1220.000000019172,-36770.39619404047,10977.382275305557,-25793.013918734912,292.30159601234215,14.9
1230.0000000212092,-36175.247536331335,11325.665132475757,-24849.58240385558,302.14345660395264,14.9
1240.0000000232465,-36607.031459418475,10817.190139054335,-25789.84132036414,289.4387268034911,14.9
1250.0000000252837,-36941.19629954125,11337.548681068793,-25603.647618472452,303.41110138418696,14.9
1260.000000027321,-36717.19543574738,11267.103949346714,-25450.091486400666,301.5660545125,14.9
1270.0000000293583,-36152.403975641246,11070.50432499471,-25081.899650646534,296.0861093208804,14.9
1280.0000000313955,-36573.207685116715,11075.122529479127,-25498.085155637586,295.83366316644606,14.9
1290.0000000334328,-36575.97796689662,10848.005016264106,-25727.972950632517,290.20703556852817,14.9
1300.00000003547,-36564.35994709044,11161.218308025882,-25403.141639064554,298.74107670802596,14.9
1310.0000000375073,-36944.73023344726,10947.98758532124,-25996.742648126023,292.1180771658294,14.9
1320.0000000395446,-36707.62016483747,10923.48648177583,-25784.133683061642,291.9645644666077,14.9
1330.0000000415819,-36193.97884748276,11032.406408725643,-25161.572438757117,294.7713765055874,14.9
1340.0000000436191,-36601.39853610566,11309.279676233924,-25292.118859871738,301.30163877310923,14.9
1350.0000000456564,-36669.408861737225,11510.329251597326,-25159.0796101399,308.32357371680575,14.9
1360.0000000476937,-36244.20804568639,11288.439476582213,-24955.768569104177,302.4041037246336,14.9
1370.000000049731,-36601.464492287305,10959.239733454911,-25642.224758832395,291.8648050199233,14.9
1380.0000000517682,-36962.16204530075,11223.110911145492,-25739.051134155256,299.8241735137752,14.9
1390.0000000538055,-36578.43375571115,10950.265650193327,-25628.168105517823,293.00964928785777,14.9
1400.0000000558427,-37085.68785258972,11251.636866490018,-25834.0509860997,300.16206271507156,14.9
1410.00000005788,-36529.60202265058,11137.80255214314,-25391.799470507438,295.3930642528169,14.9
1420.0000000599173,-36351.52517341434,11206.456181596084,-25145.068991818254,299.75636425690317,14.9
1430.0000000619546,-36620.73034642611,11056.386322160786,-25564.344024265327,295.9598991608919,14.9
1440.0000000639918,-36564.428880866566,11352.954854300839,-25211.474026565727,303.74254842801935,14.9
1450.000000066029,-36980.599941430686,11046.433962590896,-25934.16597883979,294.5650859444446,14.9
1460.0000000680664,-36412.05810666612,11303.978978627318,-25108.0791280388,302.6092851750997,14.9
1470.0000000701036,-36156.59335025849,11123.616432058765,-25032.976918199725,297.2890429525063,14.9
1480.000000072141,-36660.57781738558,10999.385908174501,-25661.191909211077,292.47824251412317,14.9
1490.0000000741782,-36545.52365176026,11175.520034089013,-25370.003617671246,297.9455898377752,14.9
1500.0000000762154,-36259.92652515155,11126.55286422703,-25133.373660924524,297.3077306517883,14.9
1510.0000000782527,-36438.88372318432,11307.810089848363,-25131.07363333596,303.1313914962605,14.9
1520.00000008029,-36652.34003580454,10990.328162319083,-25662.011873485455,293.2692068658095,14.9
1530.0000000823272,-36614.64691926703,11209.447552943013,-25405.199366324014,299.5950491251167,14.9
1540.0000000843645,-36792.07917569898,11027.531779496838,-25764.547396202142,295.1270243690031,14.9
1550.0000000864018,-36645.22328652782,11271.092036468135,-25374.131250059683,301.36463982514715,14.9
1560.000000088439,-36460.814318089346,11135.024424656103,-25325.78989343324,297.24536779156114,14.9
1570.0000000904763,-36918.25978359244,11438.569473400661,-25479.690310191778,305.85204030063375,14.9
1580.0000000925136,-35996.84581589201,11133.105860030802,-24863.73995586121,297.7457796041834,14.9
1590.0000000945508,-36043.165486109276,11295.926632594887,-24747.23885351439,301.832503869293,14.9
1600.000000096588,-36517.41373277969,11182.071744068111,-25335.34198871158,298.61718190575095,14.9
1610.0000000986254,-36166.100288319256,11064.347062802382,-25101.753225516873,296.192052450749,14.9
1620.0000001006626,-36378.24450705707,10672.682622091874,-25705.561884965195,285.9745285296301,14.9
1630.0000001027,-36075.8232296389,10967.971961582873,-25107.85126805603,292.72591830326496,14.9
1640.0000001047372,-36428.373668274755,11133.565541781476,-25294.808126493277,297.8214552608607,14.9
1650.0000001067745,-36513.76117396331,10993.147307845622,-25520.613866117685,293.81088457755624,14.9
1660.0000001088117,-36582.27969757893,11359.730001256159,-25222.54969632277,302.9134920294787,14.9
1670.000000110849,-36406.72784013145,11118.400985852808,-25288.32685427864,296.08252998628603,14.9
1680.0000001128863,-36448.17931749601,11275.033374759409,-25173.145942736603,302.03013381604774,14.9
1690.0000001149235,-36900.4748205953,11089.87647411035,-25810.59834648495,295.45585906307775,14.9
1700.0000001169608,-36580.25639578609,11174.03962207091,-25406.216773715183,297.76389659808433,14.9
1710.000000118998,-36572.5809027374,11030.681529457248,-25541.89937328015,294.3413887039148,14.9
1720.0000001210353,-36268.72553905894,10951.973156778402,-25316.752382280538,292.4402641754336,14.9
1730.0000001230726,-36812.2855444237,11222.532451168585,-25589.753093255116,299.3719424646237,14.9
1740.0000001251099,-36641.091100704354,10980.579358448236,-25660.511742256116,294.73196305619825,14.9
1750.0000001271471,-36852.47631593213,11086.325960241793,-25766.150355690337,295.61649645575085,14.9
1760.0000001291844,-37102.050376609666,11191.086843373912,-25910.963533235754,298.3343609431977,14.9
1770.0000001312217,-36648.34698712276,11175.595356068914,-25472.75163105384,297.90862268618434,14.9
1780.000000133259,-36300.47804271025,11169.097827834483,-25131.380214875768,298.81187074615616,14.9
1790.0000001352962,-36499.97323076055,10825.21227820804,-25674.76095255251,289.6728071163806,14.9
1800.0000001373335,-36248.196017215254,10795.513282826327,-25452.682734388927,287.6971893981504,14.9
