#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
709.9999999866667,-37940.08036054229,11181.782287581056,-26758.298072961235,299.1237184679877,23.2
719.9999999864302,-38209.23386034206,11102.42641605905,-27106.807444283007,296.39921335927266,23.2
729.9999999861938,-38225.36919052425,11410.218018668496,-26815.151171855756,304.84926973125744,23.2
739.9999999859573,-37944.50874935812,11331.110135739427,-26613.398613618694,302.60450072112417,23.2
749.9999999857208,-38179.56788575432,11343.341740254504,-26836.226145499815,302.68201849522916,23.2
759.9999999854844,-38297.60911272003,10840.250334523475,-27457.358778196554,289.0566308268052,23.2
769.9999999852479,-37650.869902770704,11102.636423848417,-26548.233478922288,296.6502643101627,23.2
779.9999999850114,-38077.615695790715,11220.203021013464,-26857.412674777253,300.47837476783036,23.2
789.999999984775,-38506.75589448278,11168.310367954746,-27338.445526528038,298.58481814633035,23.2
799.9999999845385,-38113.60509261885,11259.029367916659,-26854.57572470219,300.6356373158167,23.2
809.999999984302,-38668.7729992438,11153.826931697286,-27514.946067546516,297.9166142317174,23.2
819.9999999840655,-38123.58526567275,11499.843039069689,-26623.742226603063,306.9685338024929,23.2
829.9999999838291,-38110.45081799238,11368.49465419773,-26741.95616379465,303.2294431873622,23.2
839.9999999835926,-37897.295954797664,11086.636267666767,-26810.659687130898,296.9093870703761,23.2
849.9999999833561,-38065.269106580345,10944.64010263765,-27120.629003942697,292.383213226579,23.2
859.9999999831197,-38123.10122913408,10707.376192493179,-27415.725036640903,286.14839187415606,23.2
869.9999999828832,-38267.97626542782,11059.840095840642,-27208.136169587175,295.5274107672788,23.2
879.9999999826467,-38588.41878517645,11356.092330849642,-27232.32645432681,303.32213570522936,23.2
889.9999999824103,-38096.843484234574,11223.63863601075,-26873.204848223824,299.7234520632109,23.2
899.9999999821738,-38208.60397054173,11133.910849336697,-27074.693121205033,298.0212220531543,23.2
909.9999999819373,-38218.16755573065,11354.218393019142,-26863.94916271151,303.2196218753631,23.2
919.9999999817009,-38048.49170896128,11193.74672110433,-26854.74498785695,298.22217847984575,23.2
929.9999999814644,-37966.795308779394,10817.395378205209,-27149.399930574185,289.26536296068895,23.2
939.9999999812279,-38484.46049453887,11171.51281927904,-27312.94767525983,297.91050987090017,23.2
949.9999999809914,-38043.91353868328,10938.501677073182,-27105.411861610097,291.79621976694597,23.2
959.999999980755,-37677.12424124216,11182.031768779605,-26495.09247246256,297.9522418233743,23.2
969.9999999805185,-37970.40840996361,11234.96913031636,-26735.43927964725,299.9802436983153,23.2
979.999999980282,-38218.56016559961,11350.093505679299,-26868.46665992031,303.79526394876734,23.2
989.9999999800456,-38045.85208832839,10857.414339947956,-27188.437748380435,290.2223159798233,23.2
999.9999999798091,-38153.882293857976,11282.96151870906,-26870.920775148916,301.086957583959,23.2
1009.9999999795726,-37991.21217020236,11094.27582835567,-26896.93634184669,295.95499813510526,23.2
1019.9999999793362,-38151.92587428609,11069.949584622487,-27081.976289663602,295.28378098499,23.2
1029.9999999804638,-37599.38259353822,11017.876198506465,-26581.506395031756,294.10130129187155,23.2
1039.999999982501,-38067.27865540606,11226.702355290925,-26840.576300115135,299.2127706887354,23.2
1049.9999999845384,-38511.470723288265,11159.729268628771,-27351.741454659496,297.40350365806995,23.2
1059.9999999865756,-37866.474050158955,11030.6328906693,-26835.841159489653,294.3476029885353,23.2
1069.999999988613,-38105.29679698031,11204.755887865575,-26900.54090911473,300.4397787678352,23.3
1079.9999999906502,-38103.871150929575,11017.056110550573,-27086.815040379002,293.6858301842379,23.3
1089.9999999926874,-37960.615800186526,11043.933634790776,-26916.682165395752,295.03491540992735,23.3
1099.9999999947247,-38166.48244231025,11002.047894094523,-27164.434548215722,294.6020684929778,23.3
1109.999999996762,-38206.75778687381,11235.615191463401,-26971.142595410405,300.07508750431526,23.3
1119.9999999987992,-38378.73790326522,11195.679019685653,-27183.058883579564,298.75658241828063,23.3
1130.0000000008365,-38265.23564806336,11050.78368973347,-27214.45195832989,295.4825298065488,23.3
1140.0000000028738,-37952.566991198895,10983.154024302232,-26969.412966896663,293.58965812600917,23.3
1150.000000004911,-38245.1592075588,11187.828697059284,-27057.330510499516,298.9289381657601,23.3
1160.0000000069483,-38227.934671162206,11178.887874317486,-27049.04679684472,297.56948946352577,23.3
1170.0000000089856,-38198.349660839325,11180.513566378293,-27017.836094461032,298.5403868593021,23.3
1180.0000000110228,-38160.85975854241,11288.945042755928,-26871.91471578648,301.8103803476122,23.3
1190.0000000130601,-38022.52283173436,11334.813982536778,-26687.70884919758,302.1168743514834,23.3
1200.0000000150974,-38318.10016575288,11207.734948301562,-27110.36521745132,298.7915733567152,23.3
1210.0000000171347,-38019.463350950384,11083.274814370874,-26936.18853657951,295.19260457502224,23.3
1220.000000019172,-37585.18310198583,10755.961431965206,-26829.221670020623,289.1878888073754,23.3
