#"Step",  "Time (ps)",  "Potential Energy (kJ/mole)",  "Kinetic Energy (kJ/mole)",  "Total Energy (kJ/mole)",  "Temperature (K)",  "Speed (ns/day)"
1100000,  549.9999999904502,  -34029.53504973763,  11064.26211783882,  -22965.272931898806,  295.68161741711015,  158
1110000,  554.999999990332,  -34396.99391591405,  11109.253730561006,  -23287.740185353043,  296.6651337448234,  158
1120000,  559.9999999902137,  -34521.2839998624,  11196.90454429886,  -23324.379455563536,  299.8300127242516,  158
1130000,  564.9999999900955,  -34037.98698561212,  11129.858467717226,  -22908.128517894897,  297.90561909134595,  158
1140000,  569.9999999899773,  -34824.03715802029,  10728.919226213342,  -24095.117931806948,  287.31521882233955,  158
1150000,  574.999999989859,  -34107.90837608142,  10930.698385532434,  -23177.20999054898,  291.74978025081475,  158
1160000,  579.9999999897408,  -34426.16038018979,  11362.599126933435,  -23063.561253256354,  303.7264352256515,  158
1170000,  584.9999999896226,  -34714.027657292914,  11176.13106245781,  -23537.896594835103,  299.390176762003,  158
1180000,  589.9999999895043,  -34445.37904504233,  11238.33865859921,  -23207.04038644312,  300.45790289616946,  158
1190000,  594.9999999893861,  -34176.30423176169,  10907.809354520872,  -23268.49487724082,  291.4306354094309,  158
1200000,  599.9999999892678,  -34512.28743058436,  11022.518266029765,  -23489.769164554593,  294.1395170326824,  158
1210000,  604.9999999891496,  -34467.95336603044,  11340.54880421429,  -23127.404561816147,  303.71644936452117,  158
1220000,  609.9999999890314,  -35060.25849497542,  11068.573895268511,  -23991.684599706903,  296.2178759396633,  158
1230000,  614.9999999889131,  -35026.84031711492,  11048.64749040752,  -23978.192826707396,  295.56618482254777,  158
1240000,  619.9999999887949,  -34806.76114133374,  10630.59449798082,  -24176.166643352924,  284.98805348672545,  158
1250000,  624.9999999886767,  -34900.16666747316,  11107.417321066132,  -23792.74934640703,  297.4750401576769,  158
1260000,  629.9999999885584,  -34692.33288009928,  11269.713684535358,  -23422.619195563922,  302.00874510449086,  158
1270000,  634.9999999884402,  -34734.61083771135,  11057.185576566648,  -23677.4252611447,  295.20354118484295,  158
