#"Step",  "Time (ps)",  "Potential Energy (kJ/mole)",  "Kinetic Energy (kJ/mole)",  "Total Energy (kJ/mole)",  "Temperature (K)",  "Speed (ns/day)"
23400000,  11700.000002154227,  -34389.04463940594,  10940.35673279367,  -23448.68790661227,  293.3154427102477,  156
23600000,  11800.0000021746,  -35012.21520881364,  11442.069414250529,  -23570.145794563112,  306.3049725241535,  156
23800000,  11900.000002194973,  -34470.34838249706,  11369.910336834042,  -23100.438045663017,  304.1516809333645,  156
24000000,  12000.000002215345,  -34548.18377944882,  11370.96356369349,  -23177.220215755326,  304.39222286569054,  156
24200000,  12100.000002235718,  -34363.95486709338,  10921.541731904135,  -23442.413135189243,  292.3664729345167,  156
24400000,  12200.00000225609,  -34769.5739849446,  11021.351648263357,  -23748.222336681247,  295.3794968938456,  156
24600000,  12300.000002276463,  -34540.845440612145,  11206.23578054907,  -23334.609660063077,  298.98361917610015,  156
24800000,  12400.000002296836,  -34383.42797096087,  11266.633144705915,  -23116.794826254954,  301.1946655945821,  156
25000000,  12500.000002317209,  -34303.43849385683,  11042.5206028319,  -23260.917891024932,  294.8509932715468,  156
25200000,  12600.000002337581,  -34469.747048124045,  11338.544945995836,  -23131.20210212821,  302.5739260567675,  156
25400000,  12700.000002357954,  -34743.38685855978,  10764.581932970317,  -23978.804925589466,  288.65876500305234,  156
25600000,  12800.000002378327,  -34561.83864221214,  11165.660484480775,  -23396.178157731367,  298.5604149522197,  156
25800000,  12900.0000023987,  -34046.9997415605,  11284.910727096798,  -22762.089014463705,  301.00037862296773,  156
26000000,  13000.000002419072,  -34602.47764632409,  11292.97070216248,  -23309.506944161614,  301.4807567540845,  156
26200000,  13100.000002439445,  -33722.828358354804,  11047.450166443614,  -22675.37819191119,  295.56659518158415,  156
26400000,  13200.000002459818,  -34238.660876825255,  11082.084154819267,  -23156.576722005986,  296.3544857101277,  156
26600000,  13300.00000248019,  -34348.915038022904,  11352.308734675138,  -22996.606303347766,  305.08985042791437,  156
26800000,  13400.000002500563,  -34407.32621547511,  11169.269639021086,  -23238.056576454022,  297.85677725610196,  156
27000000,  13500.000002520936,  -34675.2622571784,  11142.081701489265,  -23533.180555689134,  298.51467178205934,  156
27200000,  13600.000002541308,  -34118.629542209586,  11097.632921410393,  -23020.996620799193,  296.90544455731003,  156
27400000,  13700.000002561681,  -34482.40873574104,  11217.409245484392,  -23264.999490256647,  300.57547650403023,  156
27600000,  13800.000002582054,  -34709.969944745804,  11421.807946867899,  -23288.161997877905,  305.5307661036016,  156
27800000,  13900.000002602426,  -34216.81956645025,  11256.715694662993,  -22960.103871787258,  300.62284279789736,  156
28000000,  14000.000002622799,  -34569.92824366942,  11324.209714627144,  -23245.718529042275,  303.75844733509905,  156
28200000,  14100.000002643172,  -34678.35182870392,  11030.152314391224,  -23648.199514312695,  294.811278785618,  156
28400000,  14200.000002663544,  -34208.54539972796,  11183.120794652574,  -23025.424605075386,  299.36832055733595,  156
28600000,  14300.000002683917,  -34846.26108152874,  10728.443107261272,  -24117.81797426747,  286.92156214228095,  156
28800000,  14400.00000270429,  -34439.410070125115,  11179.661243313809,  -23259.74882681131,  299.09807118024173,  156
29000000,  14500.000002724662,  -34567.35228996539,  11332.453064498764,  -23234.899225466626,  302.53009408464914,  156
29200000,  14600.000002745035,  -34740.70502042753,  10987.613742434081,  -23753.091277993448,  293.9129324818067,  156
29400000,  14700.000002765408,  -34544.04986431692,  11197.826127845488,  -23346.22373647143,  300.26446263556886,  156
29600000,  14800.00000278578,  -34684.291206616275,  11257.04491185125,  -23427.246294765027,  300.51902789398355,  156
29800000,  14900.000002806153,  -34525.759353549365,  10913.225954382548,  -23612.533399166816,  291.5002966531865,  156
30000000,  15000.000002826526,  -34188.18624207814,  11192.433147459707,  -22995.753094618434,  298.9860046302095,  156
30200000,  15100.000002846898,  -34541.071576455455,  11187.310467262285,  -23353.76110919317,  298.5921930447845,  156
30400000,  15200.000002867271,  -34633.72235156321,  11254.632895999855,  -23379.08945556335,  300.6238589390092,  156
30600000,  15300.000002887644,  -34699.92755578557,  10791.178630716217,  -23908.748925069354,  288.52119231883626,  156
30800000,  15400.000002908017,  -34451.897511190145,  11099.471183970963,  -23352.426327219182,  297.1656148562141,  156
31000000,  15500.00000292839,  -34651.948962534705,  10944.772101377022,  -23707.176861157684,  292.8130633041623,  156
31200000,  15600.000002948762,  -34229.25765364527,  11223.162911759811,  -23006.094741885456,  300.18830293727535,  156
31400000,  15700.000002969135,  -34507.55153597699,  10893.535002255083,  -23614.016533721908,  290.8695502142792,  156
31600000,  15800.000002989507,  -34437.368098089624,  11118.905864786158,  -23318.462233303464,  297.0133491892047,  156
31800000,  15900.00000300988,  -34639.14518345644,  10941.077882351377,  -23698.067301105068,  292.46393266263294,  156
32000000,  16000.000003030253,  -34292.270466655245,  10966.298342190854,  -23325.97212446439,  292.7910846242771,  156
32200000,  16100.000003050625,  -35227.33226638046,  11343.41458025485,  -23883.917686125606,  301.8724696560271,  156
32400000,  16200.000003070998,  -34873.97468293103,  11218.3170317276,  -23655.65765120343,  300.620383736337,  156
32600000,  16300.00000309137,  -34799.56454333639,  11081.334343058514,  -23718.230200277874,  296.2568934198795,  156
32800000,  16400.000003053534,  -34864.01033097427,  10928.268247128568,  -23935.742083845704,  292.68146171268603,  156
33000000,  16500.00000271011,  -34519.564494196384,  10883.282659327186,  -23636.281834869198,  291.6778992943475,  156
33200000,  16600.000002366683,  -34862.1326499768,  11132.475475569627,  -23729.65717440717,  297.4047551847967,  156
33400000,  16700.00000202326,  -34479.54862716583,  11103.720747468531,  -23375.8278796973,  297.15983578332333,  156
33600000,  16800.000001679833,  -34544.53034450775,  11111.524441204532,  -23433.00590330322,  296.98275354964005,  156
33800000,  16900.000001336408,  -34831.713439363986,  11191.702073330243,  -23640.011366033745,  299.2205217323573,  156
34000000,  17000.000000992983,  -34298.755468598465,  10905.204765942606,  -23393.55070265586,  292.4662528062736,  156
34200000,  17100.000000649557,  -34403.8319838548,  11462.183518968344,  -22941.648464886453,  306.30162331588787,  156
34400000,  17200.000000306132,  -34829.423572000465,  11185.228584905473,  -23644.19498709499,  299.09737128484073,  156
34600000,  17299.999999962707,  -34181.293622884725,  10898.29046204417,  -23283.003160840555,  291.88732882905623,  156
34800000,  17399.999999619282,  -34871.00278716707,  11112.811518466202,  -23758.191268700866,  296.48053344268476,  156
35000000,  17499.999999275857,  -34778.73492962467,  11096.195735552845,  -23682.539194071825,  297.42338789892267,  156
35200000,  17599.99999893243,  -34480.60861040172,  11270.692520920735,  -23209.91608948099,  301.16520028653633,  156
35400000,  17699.999998589006,  -34181.717042399425,  11297.431367874,  -22884.285674525425,  302.45252213498514,  156
35600000,  17799.99999824558,  -34181.464502046176,  11118.12838460276,  -23063.336117443418,  297.6601436645505,  156
35800000,  17899.999997902156,  -34268.13604191197,  11287.62699272021,  -22980.509049191758,  301.9738403329008,  156
36000000,  17999.99999755873,  -34436.81123375343,  11354.728158572727,  -23082.083075180708,  302.9243256402375,  156
36200000,  18099.999997215305,  -34568.37545416053,  11160.982183759736,  -23407.393270400797,  299.28203556720206,  156
36400000,  18199.99999687188,  -34609.2791374218,  11144.778635262592,  -23464.500502159208,  297.69563646734235,  156
36600000,  18299.999996528455,  -34451.011380116644,  11024.352384170552,  -23426.65899594609,  294.69730918195495,  156
36800000,  18399.99999618503,  -34313.006559765614,  11315.585304258355,  -22997.42125550726,  302.9807689839131,  156
37000000,  18499.999995841605,  -34347.995975795064,  11152.437525398283,  -23195.55845039678,  297.73067024503797,  156
37200000,  18599.99999549818,  -33982.69131646458,  11116.306924014996,  -22866.384392449585,  297.0741183611214,  156
37400000,  18699.999995154754,  -34025.07929009242,  11153.990019452518,  -22871.089270639903,  297.8685452544484,  156
37600000,  18799.99999481133,  -34531.47108515275,  11319.688279625116,  -23211.782805527633,  302.9212410123472,  156
37800000,  18899.999994467904,  -34517.629487303886,  10985.41535321795,  -23532.214134085938,  293.6280751146566,  156
38000000,  18999.99999412448,  -34547.1550935614,  11093.752437609955,  -23453.402655951446,  296.56781150376145,  156
38200000,  19099.999993781053,  -34472.34822595946,  10832.17787837745,  -23640.17034758201,  290.37501643918915,  156
38400000,  19199.99999343763,  -34727.45674886233,  11045.397445893004,  -23682.059302969326,  296.1064694388513,  156
38600000,  19299.999993094203,  -34220.29527811272,  11161.433749673226,  -23058.86152843949,  298.3579886391576,  156
38800000,  19399.999992750778,  -34239.581157530156,  10819.62307738702,  -23419.958080143137,  289.5676661632318,  156
39000000,  19499.999992407353,  -34478.740058513446,  11057.117263495014,  -23421.622795018433,  296.15475480680914,  156
39200000,  19599.999992063927,  -34668.29841323478,  11222.518494124857,  -23445.77991910992,  300.80034300168114,  156
39400000,  19699.999991720502,  -34487.22763146441,  10960.139954184866,  -23527.087677279545,  293.23360589897015,  156
39600000,  19799.999991377077,  -34516.070941592996,  11332.824788198548,  -23183.246153394448,  303.69207547697414,  156
39800000,  19899.999991033652,  -34862.011614174226,  11123.14274890832,  -23738.868865265904,  297.6995556218536,  156
40000000,  19999.999990690227,  -34693.540280432724,  10466.207298621928,  -24227.332981810796,  280.0138755341811,  156
