#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
879.9999999826467,-36311.06532248628,11034.571936500188,-25276.493385986098,294.1406631289248,14.8
889.9999999824103,-36688.38134969747,11223.36452177266,-25465.01682792481,300.14490604823885,14.8
899.9999999821738,-36268.44257676924,11224.860285894623,-25043.582290874612,299.6310466603034,14.8
909.9999999819373,-36479.35766338356,11175.760162382037,-25303.597501001525,298.5845684574051,14.8
919.9999999817009,-36354.8365852146,11206.558972297322,-25148.277612917278,299.37938745907024,14.8
929.9999999814644,-36723.44124799149,11321.43765832687,-25402.003589664622,301.4377084323971,14.8
939.9999999812279,-36776.08883098907,11212.17047531572,-25563.918355673355,299.8656668711426,14.8
949.9999999809914,-37239.38533534061,11075.615585419966,-26163.76974992064,295.0283588155423,14.8
959.999999980755,-36328.38453089844,11132.389086449264,-25195.995444449174,296.54823089499456,14.8
969.9999999805185,-36806.61195025851,10935.728492803262,-25870.883457455253,291.89635323603574,14.8
979.999999980282,-36671.34866555481,11131.727178610336,-25539.621486944474,297.1524290812225,14.8
989.9999999800456,-36407.113391802224,11033.54774943085,-25373.565642371374,294.4421920202997,14.8
999.9999999798091,-36564.731274186335,10963.118498214313,-25601.612775972022,293.00627966978055,14.8
1009.9999999795726,-36480.651412832776,10701.055091852164,-25779.596320980614,286.5789996785306,14.8
1019.9999999793362,-36641.46938987807,11562.364745566727,-25079.10464431134,308.96322444844816,14.8
1029.9999999804638,-36478.036632709955,11228.989751003952,-25249.046881706003,300.80507568629037,14.8
1039.999999982501,-36960.795224420865,11026.444577428023,-25934.35064699284,293.8959046957663,14.8
1049.9999999845384,-36617.16245377381,11093.672163811494,-25523.490289962316,296.66592995955153,14.8
1059.9999999865756,-36793.861596092116,11054.494019463991,-25739.367576628123,295.1232939836446,14.8
1069.999999988613,-36871.25113084299,11230.616189830884,-25640.634941012104,300.2279530126303,14.8
1079.9999999906502,-36888.91161327923,10864.28857749816,-26024.62303578107,290.8620631681295,14.8
1089.9999999926874,-36678.98204787003,11246.380263210764,-25432.601784659266,300.16013467937506,14.8
1099.9999999947247,-36907.237922435714,11006.42198454907,-25900.815937886644,293.590728421119,14.8
1109.999999996762,-36502.68727555565,10886.801427986265,-25615.88584756938,291.0524216121678,14.8
1119.9999999987992,-36581.64872046746,11143.049772214366,-25438.598948253097,297.71529708851494,14.8
1130.0000000008365,-36670.87517363092,11071.95760971979,-25598.91756391113,295.84324995308714,14.8
1140.0000000028738,-36867.62027952262,11117.622573158445,-25749.997706364175,296.65402494319414,14.8
1150.000000004911,-36595.05855608616,11228.432611150125,-25366.625944936033,299.3861864919911,14.8
1160.0000000069483,-36723.51764141831,11220.984037506563,-25502.533603911746,298.91310796438444,14.8
1170.0000000089856,-36718.245320293616,11211.477322897748,-25506.767997395866,299.3853294507313,14.8
1180.0000000110228,-36281.32960658001,11374.971755922015,-24906.357850657994,304.54504210918884,14.8
1190.0000000130601,-36647.43857463326,11094.608264453094,-25552.83031018017,296.6702918432805,14.8
1200.0000000150974,-36800.70900284549,11127.89442615606,-25672.81457668943,297.86559643048804,14.8
1210.0000000171347,-36342.26157138292,11258.299182620945,-25083.962388761975,301.2861345965201,14.8
1220.000000019172,-36481.19406589999,11013.214591695521,-25467.97947420447,292.5573460297028,14.8
1230.0000000212092,-36572.07628194562,11027.379361146512,-25544.69692079911,294.4774730902867,14.8
1240.0000000232465,-37149.1730111939,11125.823351639381,-26023.349659554522,297.5687354748172,14.8
1250.0000000252837,-37041.94353340152,11328.777725919475,-25713.165807482044,302.59903237849596,14.8
1260.000000027321,-36957.90646308163,11172.797924808043,-25785.108538273584,298.89345748295415,14.8
1270.0000000293583,-36556.33055935259,11115.816989202393,-25440.513570150193,296.00480551090124,14.8
1280.0000000313955,-36209.96026105329,11205.724793022728,-25004.23546803056,299.28068790505347,14.8
1290.0000000334328,-36117.19259159372,10949.229942442711,-25167.962649151006,291.06603347061804,14.8
1300.00000003547,-36754.52846971197,11310.766225269266,-25443.762244442703,301.4141711174088,14.8
1310.0000000375073,-36755.43455692588,10746.861304515063,-26008.573252410817,285.8766686620355,14.8
1320.0000000395446,-36693.46888780159,10876.831612140306,-25816.637275661284,289.65610361758957,14.8
1330.0000000415819,-36482.22179110936,11228.91156954213,-25253.310221567233,300.16997834404157,14.8
1340.0000000436191,-36428.146326645416,11249.099513146306,-25179.04681349911,300.8207641879589,14.8
1350.0000000456564,-36625.722932206925,10995.164478478764,-25630.55845372816,293.5050800637299,14.8
1360.0000000476937,-36737.473846291985,11308.75380749449,-25428.720038797495,301.81804823248547,14.8
1370.000000049731,-36666.11635777046,11253.991662688248,-25412.12469508221,299.14593806593325,14.8
1380.0000000517682,-36690.4797692465,11325.991701465106,-25364.488067781393,303.1105622899802,14.8
1390.0000000538055,-36895.4551441645,11258.80597784202,-25636.64916632248,300.67221107406436,14.8
1400.0000000558427,-36441.185942046424,11258.455960657186,-25182.72998138924,300.56134239857414,14.8
1410.00000005788,-36276.533845711936,11156.573132184312,-25119.960713527624,297.42224008789503,14.8
1420.0000000599173,-37179.55172717735,11218.46243646318,-25961.089290714168,300.5979448421934,14.8
1430.0000000619546,-36509.82411610854,11164.781740023827,-25345.04237608471,298.4708929407226,14.8
1440.0000000639918,-36715.01903777606,10896.255182501125,-25818.763855274934,290.5473543301178,14.9
1450.000000066029,-36578.51398646581,11043.35180356174,-25535.162182904074,294.14701649836496,14.9
1460.0000000680664,-37154.308032310546,11086.882142804161,-26067.425889506383,295.2478011227198,14.9
1470.0000000701036,-37070.90443536096,11219.33970751039,-25851.564727850568,300.155990706963,14.9
1480.000000072141,-36470.86524566089,11117.153525229445,-25353.711720431445,296.76354084774016,14.9
1490.0000000741782,-36495.135091534845,11054.58428612754,-25440.550805407307,295.6972824980035,14.9
1500.0000000762154,-36510.13973249285,11214.576455395649,-25295.5632770972,299.16980035703364,14.9
1510.0000000782527,-36536.959249909945,10970.067429892073,-25566.891820017874,293.11214661121915,14.9
1520.00000008029,-36680.33978683642,11068.807188101937,-25611.532598734484,295.71764974689836,14.9
1530.0000000823272,-36045.27725476798,11219.17923971641,-24826.098015051568,299.5977565167454,14.9
1540.0000000843645,-36324.18060214409,10888.384579394475,-25435.79602274962,290.78590664380357,14.9
1550.0000000864018,-36867.04870907387,11011.865999092031,-25855.182709981837,294.5820861931559,14.9
1560.000000088439,-36755.52664524933,11212.182550885738,-25543.344094363594,299.1789736685265,14.9
1570.0000000904763,-36887.1061265819,11097.97313897988,-25789.13298760202,296.5031880104811,14.9
1580.0000000925136,-36540.93187843586,11105.471105807754,-25435.46077262811,297.1274781615568,14.9
1590.0000000945508,-37309.16808718441,11196.87648434973,-26112.291602834677,299.99559558585145,14.9
1600.000000096588,-36781.53395284447,10805.339613150014,-25976.194339694455,287.98678019373335,14.9
1610.0000000986254,-36519.81746797128,11097.24688782009,-25422.570580151194,296.88570286413716,14.9
1620.0000001006626,-36329.158253068235,11196.496021394541,-25132.662231673694,298.2851293735684,14.8
1630.0000001027,-36766.06381492053,11086.871031658253,-25679.192783262282,296.5659826944127,14.8
1640.0000001047372,-37227.12504278237,10936.527377921304,-26290.597664861067,292.2730281656928,14.8
1650.0000001067745,-36254.33320804089,10974.18635335647,-25280.14685468442,293.0677151080462,14.8
1660.0000001088117,-36943.80193046326,10999.366161763783,-25944.435768699477,294.5826653394347,14.8
1670.000000110849,-36943.61905020836,11132.144097009854,-25811.474953198507,297.5912820898221,14.8
1680.0000001128863,-36599.34402218485,10949.115304168336,-25650.228718016515,292.53504450210687,14.8
1690.0000001149235,-37222.35074172666,11034.013734577029,-26188.337007149632,294.6831017210924,14.8
1700.0000001169608,-37353.654544929544,11284.433249859405,-26069.22129507014,301.1181363710968,14.8
1710.000000118998,-36896.767320242274,10951.5365333539,-25945.230786888373,292.6083855902013,14.8
1720.0000001210353,-36920.82240987235,11125.67994279288,-25795.142467079473,297.15094131803676,14.8
1730.0000001230726,-36994.332625562856,11217.955067451854,-25776.377558111002,300.15729950719543,14.8
1740.0000001251099,-36578.67831499733,11217.576683297624,-25361.101631699705,299.7920281000328,14.8
1750.0000001271471,-36601.72764924205,11093.733868803636,-25507.993780438414,296.64247547565276,14.8
1760.0000001291844,-36752.3539722073,11364.341743576619,-25388.01222863068,303.7884855548531,14.8
1770.0000001312217,-36269.8427140757,11087.869095933678,-25181.97361814202,296.8019192230242,14.8
1780.000000133259,-36597.06174279544,11060.148026052657,-25536.913716742783,294.87591724997014,14.8
1790.0000001352962,-37014.409432174245,11020.397619817044,-25994.011812357203,294.133288603372,14.8
